SYMB,MM/DD/YY,NAV
IBJAN1999,3/1/1999,100
IBFEB1999,3/1/1999,100
IBMAR1999,3/1/1999,100
IBSEP1998,3/1/1999,101.16
IBOCT1998,3/1/1999,100
IBNOV1998,3/1/1999,100
IBDEC1998,3/1/1999,100
IBJAN1999,4/1/1999,100
IBFEB1999,4/1/1999,100
IBMAR1999,4/1/1999,100
IBAPR1999,4/1/1999,100
IBSEP1998,4/1/1999,101.56
IBOCT1998,4/1/1999,101.16
IBNOV1998,4/1/1999,100
IBDEC1998,4/1/1999,100
IBJAN1999,5/1/1999,100
IBFEB1999,5/1/1999,100
IBMAR1999,5/1/1999,100
IBAPR1999,5/1/1999,100
IBMAY1999,5/1/1999,100
IBSEP1998,5/1/1999,101.92
IBOCT1998,5/1/1999,101.56
IBNOV1998,5/1/1999,101.24
IBDEC1998,5/1/1999,100
IBJAN1999,6/1/1999,100
IBFEB1999,6/1/1999,100
IBMAR1999,6/1/1999,100
IBAPR1999,6/1/1999,100
IBMAY1999,6/1/1999,100
IBJUN1999,6/1/1999,100
IBSEP1998,6/1/1999,102.32
IBOCT1998,6/1/1999,101.92
IBNOV1998,6/1/1999,101.68
IBDEC1998,6/1/1999,101.24
IBJAN1999,7/1/1999,101.24
IBFEB1999,7/1/1999,100
IBMAR1999,7/1/1999,100
IBAPR1999,7/1/1999,100
IBMAY1999,7/1/1999,100
IBJUN1999,7/1/1999,100
IBJUL1999,7/1/1999,100
IBSEP1998,7/1/1999,102.76
IBOCT1998,7/1/1999,102.32
IBNOV1998,7/1/1999,102.08
IBDEC1998,7/1/1999,101.68
IBJAN1999,8/1/1999,101.68
IBFEB1999,8/1/1999,101.24
IBMAR1999,8/1/1999,100
IBAPR1999,8/1/1999,100
IBMAY1999,8/1/1999,100
IBJUN1999,8/1/1999,100
IBJUL1999,8/1/1999,100
IBAUG1999,8/1/1999,100
IBSEP1998,8/1/1999,103.2
IBOCT1998,8/1/1999,102.76
IBNOV1998,8/1/1999,102.52
IBDEC1998,8/1/1999,102.08
IBSEP1998,9/1/1999,103.64
IBOCT1998,9/1/1999,103.2
IBNOV1998,9/1/1999,102.96
IBDEC1998,9/1/1999,102.52
IBJAN1999,9/1/1999,102.08
IBFEB1999,9/1/1999,101.68
IBMAR1999,9/1/1999,101.24
IBAPR1999,9/1/1999,100
IBMAY1999,9/1/1999,100
IBJUN1999,9/1/1999,100
IBJUL1999,9/1/1999,100
IBAUG1999,9/1/1999,100
IBSEP1999,9/1/1999,100
IBJAN1999,10/1/1999,102.52
IBFEB1999,10/1/1999,102.08
IBMAR1999,10/1/1999,101.68
IBAPR1999,10/1/1999,101.24
IBMAY1999,10/1/1999,100
IBJUN1999,10/1/1999,100
IBJUL1999,10/1/1999,100
IBAUG1999,10/1/1999,100
IBSEP1999,10/1/1999,100
IBOCT1999,10/1/1999,100
IBSEP1998,10/1/1999,104.08
IBOCT1998,10/1/1999,103.64
IBNOV1998,10/1/1999,103.36
IBDEC1998,10/1/1999,102.96
IBJAN1999,11/1/1999,102.96
IBFEB1999,11/1/1999,102.52
IBMAR1999,11/1/1999,102.08
IBAPR1999,11/1/1999,101.68
IBMAY1999,11/1/1999,101.24
IBJUN1999,11/1/1999,100
IBJUL1999,11/1/1999,100
IBAUG1999,11/1/1999,100
IBSEP1999,11/1/1999,100
IBOCT1999,11/1/1999,100
IBNOV1999,11/1/1999,100
IBSEP1998,11/1/1999,104.52
IBOCT1998,11/1/1999,104.08
IBNOV1998,11/1/1999,103.80
IBDEC1998,11/1/1999,103.36
IBJAN1999,12/1/1999,103.36
